s,a,r,sp
39139,1,0,60137
15591,0,0,8840
80402,0,0,54800
17935,0,0,6354
20499,0,0,66432
54348,0,0,42767
12938,0,-1,23673
37811,0,0,70048
8081,0,-1,63263
53524,0,-1,96710
78102,0,-1,61637
73681,1,0,44024
43381,0,0,52119
10688,1,0,92431
99219,1,0,19825
40231,1,0,62592
57830,1,0,27954
52119,0,0,85985
15591,0,0,8840
8272,0,0,17579
17935,1,0,69144
20499,0,0,66432
69585,0,-1,54020
81456,0,-1,5428
81603,0,0,26193
37094,0,0,20253
91420,0,-1,11850
1881,0,0,52571
25800,0,-1,83568
81466,1,0,51809
12279,0,0,46098
21019,0,0,2694
76345,1,0,41712
78470,1,0,831
96069,1,0,66193
74006,0,-1,66156
10267,0,-1,18875
39640,1,0,90919
36707,0,0,4975
35625,1,0,12179
80782,0,0,80803
9125,0,0,58180
97196,0,0,44314
97254,0,-1,28669
89429,0,0,21414
60430,0,-1,828
96110,1,0,82805
26923,0,0,4555
79476,1,0,44867
51655,1,0,72261
9019,1,0,15028
10266,1,0,96742
4555,0,0,85985
15591,1,0,31180
87770,2,0,45862
66121,0,0,30257
77365,0,0,76865
69585,0,-1,54020
4486,0,0,95039
57017,0,0,1748
91051,0,-1,15062
43020,0,0,75005
98697,0,-1,82619
83473,0,-1,5972
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
51809,0,0,56407
46098,0,-1,89605
27942,0,0,98855
59459,1,0,17551
7197,0,-1,94970
7972,0,-1,42252
45850,0,0,99050
35196,1,0,35928
99050,1,0,69198
35928,0,0,77306
95746,0,0,30509
46464,0,-1,12600
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,0,0,79775
78470,1,0,831
96069,1,0,66193
11267,1,0,14103
14318,0,0,13105
79775,0,-1,89611
89185,0,0,97623
86032,0,0,59767
39829,0,0,48750
2569,0,0,52995
4762,0,-1,52708
26888,0,0,56485
4171,0,-1,94759
94060,0,0,83159
25170,0,-1,62254
9374,0,0,14631
67742,1,0,38822
60130,1,0,41873
87548,1,0,69267
28560,0,0,73563
48350,0,0,81183
46792,0,0,92346
15591,1,0,31180
87770,1,0,45862
39631,0,-1,64762
43637,0,0,13786
81961,0,-1,12893
5756,1,0,91338
38475,0,0,33407
61545,0,0,75344
91338,0,0,69777
33407,0,-1,4354
86537,0,-1,62254
96110,1,0,82805
26923,0,0,4555
79476,0,0,63724
66991,0,0,67012
99026,1,0,86623
2538,1,0,77365
35887,0,0,94493
51521,0,0,35418
34057,0,-1,95512
90963,1,0,42023
29843,1,0,46886
31788,0,0,8004
44762,0,-1,48765
80431,1,0,45295
40533,0,0,87627
62764,0,-1,19074
96178,0,0,15666
60430,0,-1,828
66057,1,0,52752
13222,1,0,84302
5610,1,0,87353
94141,1,0,14747
35153,1,0,57514
52752,0,0,25746
52698,0,0,59136
76982,2,0,92571
49161,0,0,60815
43864,0,0,71146
91764,0,-1,31483
16487,1,0,38069
2896,0,0,81800
68851,0,-1,91495
21196,0,-1,55703
34520,0,0,21090
59588,0,-1,89476
81466,0,0,59168
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
59168,0,-1,44243
16956,1,0,94819
95207,1,0,90984
26700,0,0,34255
81140,0,0,17217
12211,0,0,42724
43657,0,0,45166
85,0,-1,95645
25346,0,0,82899
26298,0,-1,18466
17767,0,0,66603
83249,0,0,76347
66603,0,-1,33065
41717,0,0,28321
1895,1,0,43289
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
28321,0,0,85749
90953,1,0,54348
93450,2,0,39601
81981,0,0,86971
17935,0,0,6354
85749,0,0,72682
54348,1,0,5408
39601,0,0,59633
86971,0,-1,95512
4762,0,-1,52708
75256,0,0,29318
41432,0,0,75251
91558,0,-1,57639
28580,0,-1,18352
39923,1,0,10266
70736,1,0,41816
79476,1,0,44867
51655,2,0,72261
9019,1,0,15028
10266,0,0,27308
39139,0,0,96496
19741,1,0,51682
8272,0,0,17579
17935,0,0,6354
18158,0,0,66208
594,0,-1,54020
4486,1,0,21529
32135,0,0,46866
91051,0,-1,15062
7537,0,-1,84224
59681,0,0,53735
37053,0,0,32528
53735,0,-1,73973
84899,2,0,55242
54599,1,0,86792
63339,1,0,28730
35518,1,0,56124
92882,1,0,60004
55242,0,0,23494
50446,1,0,53282
53497,0,0,99833
44792,0,0,87493
86623,1,0,76546
34523,0,0,34023
54348,0,0,42767
12938,0,-1,23673
85637,0,0,35808
90127,0,0,66449
35750,0,0,24169
28166,0,-1,76740
64232,0,-1,28669
69688,0,-1,13810
58938,0,0,12241
65352,1,0,36432
57740,0,0,70269
88681,1,0,70400
46045,1,0,13167
15764,2,0,13003
39955,0,0,66511
87717,0,-1,74989
56867,1,0,83197
92821,1,0,43857
88534,2,0,16369
44257,0,0,44427
87347,0,0,90559
90127,1,0,59090
12944,0,-1,55252
77428,0,-1,75186
94522,0,0,59973
52290,0,0,71778
59973,0,0,34079
71778,0,-1,83568
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
51809,1,0,38285
83359,0,0,18380
86410,0,0,88617
94689,0,0,56709
15483,0,-1,20030
39710,1,0,56753
19805,0,0,88131
86794,0,-1,26928
23763,0,0,28560
20413,0,0,83883
81555,0,-1,40932
91562,0,0,63102
88186,0,-1,41736
81538,1,0,51881
12351,1,0,83431
4739,1,0,86482
93270,0,0,28666
2529,1,0,73774
6041,0,0,30373
39139,0,0,92346
15591,1,0,31180
21013,0,0,86904
86623,1,0,76546
34523,0,0,34023
594,0,-1,54020
4486,0,0,95039
98383,0,-1,51561
20911,0,0,87694
81667,0,0,94912
7450,2,0,78530
87694,0,-1,33042
25170,0,-1,62254
81466,0,0,13226
66337,1,0,98530
75077,1,0,40468
47256,1,0,67862
4620,1,0,10629
13226,0,-1,23942
96655,1,0,74518
13793,1,0,87035
61638,0,0,50392
97277,0,0,86153
28599,0,0,55533
38280,0,0,1841
82647,0,-1,57796
95302,0,0,45473
26298,0,-1,18466
44393,0,0,13544
11059,0,-1,4086
96110,1,0,82805
26923,1,0,98003
35663,1,0,17406
63081,0,0,15403
97746,1,0,20107
15345,0,0,34961
46792,1,0,67790
84357,1,0,99946
31628,0,-1,60050
44717,0,0,12337
68753,0,0,84605
36428,0,0,80062
42108,0,0,32685
4762,0,-1,52708
18098,0,0,94695
4171,2,0,75251
91558,0,-1,57639
65833,0,0,48951
30617,0,-1,96377
31761,0,0,92937
66511,1,0,46792
2465,1,0,84357
74644,1,0,56536
2529,0,0,8397
92937,0,0,73530
39139,0,0,96496
19741,1,0,51682
8272,1,0,5251
43781,0,0,91475
88315,0,-1,20429
98684,2,0,9095
30878,1,0,3160
38624,0,0,4229
28452,0,0,53243
9095,0,-1,96982
36540,0,0,77777
1144,0,-1,87798
11059,0,-1,4086
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
51809,0,0,56407
83359,0,0,36179
4209,0,0,86644
31603,0,0,82293
74370,0,0,25083
40998,0,-1,10149
78996,0,0,5132
88843,0,-1,47154
67900,0,-1,56663
45063,0,-1,90823
31761,1,0,2104
1461,1,0,33654
10201,0,0,25115
83621,1,0,49161
95154,0,0,1022
59779,1,0,34606
39417,0,0,53737
25115,0,0,16637
56536,1,0,53515
8397,0,-1,44260
38967,1,0,2014
78549,0,-1,87265
68794,0,0,96999
38475,0,0,33407
72236,0,0,80467
96999,0,0,49661
33407,0,-1,4354
42013,0,-1,62254
31761,1,0,2104
1461,1,0,33654
10201,1,0,75592
82380,1,0,2986
39744,1,0,45753
2104,0,0,27586
39417,0,0,53737
76982,0,0,66081
49161,0,0,60815
43864,1,0,33787
27586,0,0,85324
53737,0,-1,65074
53474,0,-1,83209
80020,0,-1,89370
78532,0,0,91033
90960,0,-1,828
39923,1,0,10266
70736,1,0,41816
79476,1,0,44867
51655,2,0,72261
9019,0,0,43840
98388,1,0,56863
39139,0,0,96496
19741,1,0,51682
8272,0,0,17579
27416,2,0,91475
20499,1,0,67194
594,0,-1,54020
4486,0,0,95039
32135,0,0,46866
63173,0,0,71612
33175,0,0,2189
95039,0,-1,5428
26193,0,0,26174
55445,0,-1,86798
88186,0,-1,41736
62351,1,0,32694
32051,0,0,72121
47042,0,0,8143
26555,1,0,47161
83919,1,0,89928
46279,1,0,32755
79455,0,0,90135
23101,0,0,48933
81981,0,0,86971
17935,1,0,69144
20499,1,0,67194
69585,0,-1,54020
33630,0,0,22981
17368,0,-1,51561
20911,0,0,87694
64637,0,0,28107
13142,0,-1,99648
69688,0,-1,13810
31761,0,0,85562
59136,1,0,39417
56203,1,0,76982
83621,1,0,49161
95154,0,0,8397
92937,0,0,73530
39139,0,0,96496
19741,1,0,51682
8272,0,0,17579
36206,0,-1,96223
77232,0,-1,79195
18563,0,-1,10358
66549,1,0,59681
40601,0,0,37053
59681,1,0,20723
37053,0,0,32528
20723,0,0,23859
32528,0,-1,12600
96637,1,0,66980
66337,1,0,98530
75077,1,0,40468
47256,1,0,67862
4620,0,0,37912
82805,0,0,71051
98003,1,0,839
17406,0,0,32381
77340,1,0,74492
47917,0,0,57893
91764,0,-1,24108
6342,0,0,20149
96218,0,-1,39501
55111,0,0,95743
57176,0,-1,53106
2304,2,0,73384
8073,0,0,89618
74735,0,-1,61637
45002,1,0,15345
75815,1,0,46895
68203,1,0,49946
56734,0,0,37643
95154,1,0,43864
59779,0,0,99139
46792,0,0,61112
84357,1,0,99946
28666,0,0,66402
66121,1,0,33509
30373,0,-1,66867
60559,0,0,15549
30878,0,0,21431
80014,0,-1,57796
27122,0,0,34192
55917,0,0,65558
13685,0,-1,32376
2416,0,-1,99071
45002,0,0,85562
59136,1,0,39417
56203,1,0,76982
83621,1,0,49161
95154,1,0,43864
85562,0,0,81183
46792,0,0,92346
15591,0,0,8840
8272,1,0,5251
86623,1,0,76546
32919,0,0,72682
594,0,-1,54020
81456,0,-1,5428
84285,0,0,97254
37094,0,0,20253
7355,0,0,39167
97254,0,-1,28669
69688,0,-1,13810
37572,0,0,24171
58858,1,0,39139
94812,1,0,15591
66991,0,0,67012
99026,1,0,86623
28321,0,0,85749
90953,1,0,54348
93450,1,0,39601
34057,0,-1,95512
90963,1,0,42023
65441,0,0,82026
36428,0,0,80062
42108,0,0,32685
42023,0,0,42280
82026,0,0,84359
80062,0,-1,60533
7450,0,-1,99648
69688,0,-1,13810
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,0,0,51867
89449,1,0,72923
51809,1,0,38285
83359,0,0,18380
86410,1,0,18351
51867,0,-1,50500
50074,0,0,13520
40816,0,0,32271
41761,0,-1,55757
50835,0,0,29739
78874,0,-1,96592
2468,0,-1,11473
81466,1,0,51809
12279,0,0,46098
21019,0,0,92585
10997,1,0,31603
52009,1,0,74370
69608,1,0,39732
63897,0,-1,67670
50668,0,-1,90266
11031,1,0,62310
8098,0,0,9125
39775,0,0,51628
84285,0,0,97254
60513,1,0,68960
51628,0,0,83613
97254,0,-1,28669
63007,0,0,56105
14862,0,0,54155
56105,0,-1,13810
39923,0,0,24171
58858,1,0,39139
94812,0,0,23101
87493,1,0,8272
99026,1,0,86623
28321,0,0,85749
90953,1,0,54348
15699,0,-1,23673
8681,1,0,18808
76269,1,0,90127
29873,0,0,45082
60597,0,0,28166
18808,0,0,79915
90127,0,0,66449
45082,0,0,53313
28166,0,-1,76740
97254,0,-1,28669
69688,0,-1,13810
14823,0,0,28321
1895,1,0,43289
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
28321,0,0,85749
90953,1,0,54348
93450,0,0,12938
81981,1,0,33433
17935,0,0,6354
85749,2,0,86197
54348,0,0,42767
12938,0,-1,23673
18808,0,0,79915
8081,0,-1,63263
91451,0,0,5250
14726,0,-1,40932
83473,0,-1,5972
41717,0,0,28321
1895,1,0,43289
98962,1,0,19741
87493,0,0,99490
91475,1,0,17935
72682,0,0,88315
90953,1,0,54348
93450,1,0,39601
99490,0,0,25618
17935,1,0,69144
88315,0,-1,20429
41526,0,0,9095
30878,0,0,21431
87416,0,0,385
30769,0,0,31026
9095,0,-1,96982
23049,0,-1,55760
39920,0,-1,51174
58938,1,0,45633
28638,1,0,60831
37378,1,0,63882
25909,0,0,29339
66921,1,0,50395
45633,0,0,54241
36432,0,0,32566
39483,1,0,55072
66053,0,-1,2017
1591,1,0,52651
6505,0,0,53954
6526,0,-1,79666
35857,0,0,28857
20911,0,0,87694
38825,0,-1,14867
44393,0,0,13544
52728,0,-1,4086
66057,1,0,52752
13222,1,0,84302
5610,1,0,87353
94141,1,0,14747
35153,1,0,57514
52752,0,0,25746
52698,0,0,59136
76982,0,0,66081
49161,0,0,60815
43864,0,0,78521
99139,0,-1,62717
8834,1,0,30416
27452,0,-1,82538
3284,0,0,45283
37433,0,-1,81977
21758,0,0,61051
31526,0,0,82216
61051,0,-1,61637
66057,1,0,52752
13222,0,0,54324
29245,1,0,55749
17776,1,0,83143
58788,1,0,42262
21148,0,0,27586
93128,0,-1,65074
71188,0,0,53474
2705,1,0,49885
99772,0,0,2105
19658,1,0,29774
53474,0,-1,83209
80782,0,0,80803
74205,0,0,68960
97874,0,0,27471
97254,0,-1,28669
63007,0,0,56105
88372,0,-1,828
71135,0,0,24171
58858,1,0,39139
94812,1,0,15591
66991,0,0,67012
99026,0,0,28029
72682,0,0,88315
90953,1,0,54348
93450,1,0,39601
34057,0,-1,95512
7870,0,0,39682
84359,0,-1,26166
33349,1,0,63559
4392,1,0,6326
95302,2,0,82899
63559,0,0,97378
6326,0,0,84765
82899,0,0,87497
97378,0,-1,18466
84378,0,-1,33065
76214,1,0,62909
7027,1,0,78107
15767,1,0,81158
43185,1,0,8552
84197,0,0,12606
6041,0,0,30373
39139,0,0,92346
15591,1,0,31180
87770,1,0,45862
43840,2,0,94876
30373,0,-1,66867
60559,0,0,15549
30878,0,0,21431
38624,0,0,4229
28452,0,0,53243
15549,0,0,98684
21431,0,-1,24542
16,0,-1,61397
23545,0,-1,99071
41178,1,0,27873
27230,1,0,43071
80731,0,0,74858
93270,1,0,13876
34282,1,0,56643
51881,0,0,27586
39417,1,0,76767
80342,0,-1,52732
57145,0,0,58036
70564,1,0,60487
74098,0,0,18688
4563,0,0,92958
58036,0,-1,52433
3067,0,0,30435
17858,0,-1,10131
49299,0,0,50888
2416,0,-1,99071
82913,0,0,76967
30078,1,0,1158
22466,1,0,4209
10997,1,0,31603
52009,1,0,74370
76967,0,-1,86514
75579,0,0,90269
56034,0,0,2310
15546,0,0,20587
77900,1,0,67823
60559,0,0,15549
15237,1,0,80628
82647,0,-1,57796
27122,0,0,34192
55917,0,0,65558
88803,0,0,32202
34192,0,-1,45687
80000,0,-1,82155
62351,1,0,32694
32051,0,0,72121
47042,1,0,73546
19221,1,0,940
76585,1,0,43707
38945,1,0,25421
72121,0,-1,5163
43500,1,0,16742
36130,0,0,98078
51508,0,0,30988
16132,0,0,51153
4486,0,0,95039
5809,2,0,46866
30988,0,0,14454
51153,0,-1,95267
23049,0,-1,55760
1881,0,0,52571
80232,0,0,12217
52571,0,-1,51174
81538,1,0,51881
12351,0,0,28950
56203,1,0,76982
83621,1,0,49161
95154,1,0,43864
59779,1,0,34606
28950,0,0,86263
76982,0,0,73456
56536,1,0,53515
73774,0,0,78521
25629,0,0,82856
85985,2,0,31737
4690,0,-1,95491
87347,0,0,90559
8081,0,-1,63263
53524,0,-1,96710
75469,0,-1,61637
62351,1,0,32694
32051,1,0,64244
40791,1,0,67295
12970,1,0,94689
70334,1,0,37456
32694,1,0,2818
64244,0,0,99265
67295,0,0,88617
94689,2,0,91841
37456,0,0,16355
14148,0,0,68054
13128,0,0,93128
66081,0,-1,43755
90850,0,0,56052
56267,0,-1,91911
16223,0,0,62069
81555,0,-1,40932
83473,0,-1,5972
62677,1,0,49372
32377,1,0,64570
41117,1,0,67621
29648,1,0,95015
70660,1,0,54134
49372,0,0,86697
43289,0,0,37335
93450,1,0,39601
81981,2,0,33433
17935,0,0,6354
18158,0,0,66208
37335,0,0,90953
39601,0,0,59633
33433,0,0,67252
6354,0,-1,96223
77964,0,-1,79195
8922,0,0,18563
66690,0,-1,85381
2587,0,-1,7585
66057,0,0,60111
13222,1,0,84302
5610,1,0,87353
94141,1,0,14747
35153,1,0,57514
60111,0,-1,66183
55248,0,0,8834
45166,0,0,31602
19696,1,0,28013
77900,0,0,12595
60821,1,0,15549
63063,0,-1,24542
3399,0,0,16
47418,0,0,88050
23866,0,0,49859
16,0,-1,61397
56848,0,0,88833
8046,0,-1,41579
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
51809,1,0,38285
46098,0,-1,4517
42854,1,0,99744
35484,0,0,47049
10286,0,0,16142
4551,0,0,29774
21289,0,0,55408
87244,0,-1,85260
37496,0,-1,87819
17411,0,0,26542
30591,0,-1,4215
66057,1,0,52752
13222,1,0,84302
5610,0,0,83012
17776,0,0,37643
95154,1,0,43864
59779,1,0,34606
39417,0,0,53737
80342,0,-1,43755
25887,1,0,8157
61587,1,0,51510
22677,0,0,85135
44246,0,-1,91723
47611,0,0,1932
72579,0,0,69549
91420,0,-1,11850
39920,0,-1,51174
73681,1,0,44024
43381,2,0,75574
52121,1,0,78625
24300,1,0,6019
81664,1,0,48786
44024,0,0,51155
78107,0,0,66511
84357,1,0,99946
56536,0,0,68190
73774,0,0,9755
30373,0,-1,66867
68223,0,0,28836
30878,1,0,3160
82647,0,-1,57796
87497,0,-1,45687
21463,0,0,69627
97014,0,0,89668
69627,0,0,78066
89668,0,-1,89476
96110,1,0,82805
26923,1,0,98003
35663,1,0,17406
63081,1,0,44800
4093,1,0,87567
82805,0,0,19943
46895,0,0,66511
84357,0,0,4690
87770,1,0,45862
66121,0,0,30257
34523,0,0,34023
94493,0,0,14275
12938,0,-1,23673
18808,2,0,51025
8081,0,-1,63263
37443,0,0,50688
81555,0,-1,40932
20734,0,0,39836
55015,0,-1,41736
34539,2,0,4882
65352,1,0,36432
57740,1,0,39483
46271,0,0,66053
87283,1,0,9644
4882,0,0,13003
39955,0,0,59136
76982,1,0,92571
24253,0,-1,67703
13483,1,0,43693
72018,0,-1,66529
31870,0,0,28588
42092,1,0,34974
62607,0,0,20690
9455,0,-1,18466
46939,0,0,84378
50162,0,0,43087
84378,0,-1,33065
96637,0,0,90164
26923,1,0,98003
35663,1,0,17406
63081,1,0,44800
4093,1,0,87567
90164,2,0,71051
98003,2,0,839
17406,1,0,32995
44800,0,0,28030
20107,1,0,95078
19943,0,0,92699
67790,0,0,95483
31180,0,0,17409
3574,0,0,81981
69144,0,0,39749
66208,0,-1,20429
9095,0,-1,96982
23049,0,-1,55760
1881,0,0,52571
25800,0,-1,83568
39923,1,0,10266
70736,0,0,28672
94812,1,0,15591
66991,1,0,87770
94876,1,0,66121
98388,0,0,34523
71709,0,0,30315
93450,1,0,39601
81981,0,0,86971
17935,1,0,69144
97469,0,-1,20429
96643,0,0,37275
30878,0,0,21431
82647,0,-1,57796
27122,0,0,34192
84313,0,0,23613
13685,0,-1,32376
2416,0,-1,99071
38062,1,0,8405
7762,1,0,39955
16502,1,0,43006
88681,1,0,70400
46045,0,0,5231
59779,0,0,99139
46792,1,0,67790
84357,0,0,73456
56536,1,0,53515
12606,0,0,65268
99139,0,-1,62717
28599,0,0,55533
31602,0,0,80628
38624,0,0,4229
82163,0,-1,83055
79303,0,-1,10358
30509,0,0,19608
90101,0,-1,12600
81466,1,0,51809
12279,1,0,83359
21019,0,0,17106
35518,1,0,56124
92882,0,0,82980
27873,0,0,1240
83431,1,0,31028
74858,0,0,9262
49161,1,0,62492
1022,0,-1,13026
81243,0,-1,19534
5867,1,0,56927
32637,0,-1,95397
50319,0,0,24167
17751,0,0,74735
24167,0,0,89618
74735,0,-1,61637
34777,0,0,28321
1895,1,0,43289
98962,1,0,19741
87493,1,0,8272
99026,0,0,28029
72682,0,0,88315
90953,1,0,54348
93450,1,0,39601
81981,0,0,86971
28029,0,0,91475
88315,0,-1,20429
41526,0,0,9095
30878,1,0,3160
82647,0,-1,57796
95302,0,0,45473
26298,0,-1,18466
46939,0,0,84378
11059,0,-1,4086
50805,1,0,21148
20505,0,0,36325
2465,0,0,80064
66991,1,0,87770
94876,1,0,66121
98388,0,0,30373
28672,1,0,58858
80064,0,-1,95491
16256,1,0,87347
13323,1,0,64359
92684,0,0,35750
79892,0,0,11323
18808,0,0,79915
90127,0,0,66449
35750,0,0,24169
11323,0,-1,76740
97254,0,-1,28669
69688,0,-1,13810
12454,1,0,43910
43267,1,0,14347
52007,0,0,67874
87493,1,0,8272
99026,1,0,86623
2538,1,0,77365
43289,0,0,37335
51521,0,0,35418
81981,0,0,86971
17935,1,0,69144
20499,0,0,66432
37335,0,0,90953
35418,0,-1,23673
79183,0,-1,66320
80431,0,0,2453
73620,0,-1,88466
68753,0,0,8046
2416,0,-1,99071
66057,1,0,52752
13222,1,0,84302
5610,1,0,87353
94141,1,0,14747
35153,0,0,92607
21148,1,0,7624
52698,0,0,59136
76982,0,0,66081
49161,0,0,60815
1022,0,-1,13026
7733,0,0,47941
36966,1,0,37674
39208,0,-1,22778
3261,0,-1,68211
54661,0,0,32590
77664,0,0,33309
32590,0,0,71883
33309,0,-1,96377
77330,0,0,39780
15426,1,0,47619
24166,1,0,50670
12697,1,0,94416
53709,0,0,43840
23933,0,-1,66867
89805,0,0,74312
80628,1,0,30878
73258,1,0,38624
50178,1,0,28452
74312,0,0,15549
30878,2,0,3160
38624,0,0,4229
28452,0,0,53243
15549,0,0,98684
3160,0,0,36077
4229,0,-1,57796
45473,0,-1,45687
80000,0,-1,82155
34539,1,0,4882
65352,1,0,36432
57740,0,0,70269
88681,1,0,70400
46045,1,0,13167
8405,1,0,94881
39955,1,0,42791
70269,0,0,9262
49161,0,0,60815
43864,0,0,71146
34606,0,0,44247
76767,0,0,95761
9262,0,-1,43755
65411,0,-1,83667
13368,0,-1,29862
54661,0,0,32590
71210,0,-1,96377
76214,1,0,62909
7027,1,0,78107
15767,1,0,81158
43185,0,0,28666
2529,1,0,73774
6041,1,0,25629
46792,0,0,92346
15591,0,0,8840
80402,0,0,54800
17935,1,0,69144
20499,0,0,66432
594,0,-1,54020
81456,0,-1,5428
84951,0,0,23852
37094,0,0,20253
91420,0,-1,11850
74011,0,0,80513
25800,2,0,71778
80513,2,0,39920
71778,0,-1,83568
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
